Pressure,Valve,Flow,Production
8.674922943,44.11348724,1696.772217,4865.154
8.712718964,43.87347412,1713.576782,5322.134
8.762207985,43.63346481,1688.424072,5245.379
8.752078056,43.39345169,1682.62439,5045.21
8.589972496,44.98021698,1659.751221,5112.985
8.439351082,46.2999115,1673.474365,4566.191
8.520539284,44.58209229,1697.604614,5306.253
8.674692154,42.88069153,1696.110229,4879.556
8.758911133,43.14453125,1695.118164,5259.961
8.760404587,43.40837479,1690.800049,5154.38
8.727181435,43.67221451,1707.55896,5255.993
8.660672188,43.93605423,1707.598877,5171.964
8.622106552,44.19989395,1695.963501,5186.641
8.607819557,44.3895874,1695.090454,4972.052
8.693564415,44.03901291,1695.526245,4903.147
8.728654861,43.68843842,1673.147217,5139.636
8.67648983,43.33786392,1671.878052,5240.882
8.606451035,43.14045334,1658.741943,5021.66
8.568196297,43.02030563,1691.932251,4948.438
8.6275177,42.90016174,1664.312622,4905.17
8.627998352,42.78001404,1681.839722,4795.978
8.629392624,42.65987015,1658.924072,4973.565
8.661710739,42.53972244,1662.973755,4658.199
8.663004875,42.62827301,1659.976074,4734.749
8.647821426,42.85957718,1660.6073,5323.381
8.632637024,43.09088135,1639.533447,5366.62
8.574019432,43.32218552,1623.424072,5088.309
8.55129528,43.55348969,1613.673462,4267.119
8.550052643,43.62911606,1625.072754,5019.001
8.553019524,43.42281723,1626.416504,5274.886
8.574240685,43.2165184,1619.787598,5356.952
8.594846725,43.01021957,1622.52417,5345.886
8.594096184,42.80392456,1626.255615,5148.518
8.644644737,42.59762573,1580.126099,5150.904
8.623889923,42.86118317,1573.082031,4648.178
8.608416557,41.41321182,1557.93103,5535.437
8.6329422,41.66192627,1600.512695,5451.577
8.625192642,41.91064072,1605.654663,5554.306
8.617442131,42.15935898,1619.24292,5188.101
8.607922554,42.40807343,1616.034302,5022.126
8.596779823,42.65678787,1608.232544,5282.148
8.575502396,42.90550613,1607.956665,5160.175
8.554028511,43.15422058,1608.287598,5176.937
8.60025692,43.33167267,1619.564819,4819.952
8.655309677,42.9234314,1606.073975,5135.967
8.637336731,42.51518631,1606.75769,5238.674
8.61686039,42.62064743,1570.627197,4715.922
8.582069397,43.14330292,1560.239258,5159.776
8.489722252,43.72626114,1616.746582,5119.333
8.483803749,44.35320282,1687.528076,5153.085
8.590346336,44.44723892,1727.896484,5018.388
8.662949562,44.46815491,1746.863281,4623.268
8.682034492,44.48907089,1739.586182,4616.18
8.64875412,44.50998688,1746.769409,5168.256
8.632754326,44.53090286,1748.265747,5291.021
8.648784637,44.55181885,1732.833252,5246.016
8.623431206,44.57273483,1743.353516,4947.843
8.585622787,44.59365082,1741.415405,5200.132
8.528250694,44.6145668,1741.007202,5183.433
8.61055088,44.63548279,1749.641724,4674.444
8.652998924,43.80091476,1735.455444,4732.213
8.723439217,43.75382233,1748.042603,4925.812
8.635345459,43.90803909,1801.780762,5311.359
8.629387856,44.06225967,1799.713745,5191.893
8.627662659,44.21647644,1811.772949,4940.93
8.610682487,44.37069321,1812.378418,4873.639
8.618467331,44.52491379,1810.639038,4804.982
8.641578674,44.67913055,1824.00415,5074.392
8.693154335,44.7673378,1816.001709,4690.137
8.672311783,44.74167252,1762.259644,5399.801
8.651468277,44.71600723,1758.001343,5129.276
8.595680237,44.69033813,1750.805298,5007.947
8.619634628,44.66467285,1755.501465,4707.204
8.597364426,44.63900757,1768.680298,5058.19
8.596451759,44.61334229,1757.878052,4829.251
8.600758553,44.587677,1765.067261,4757.917
8.605066299,44.5620079,1775.678101,5187.178
8.63384819,44.53634262,1786.919067,5105.833
8.615449905,44.51067734,1781.878662,5191.544
8.590638161,44.48501205,1796.768433,5126.67
8.603196144,44.45934296,1794.876343,5578.804
8.6266222,44.43367767,1756.588501,4844.935
8.650048256,44.40801239,1754.846436,4775.538
8.592143059,44.38234711,1776.22522,5185.036
8.595025063,44.35668182,1780.437866,5069.553
8.634757996,44.33101273,1779.244507,4852.541
8.641304016,44.30534744,1787.006226,5097.366
8.664520264,44.29145432,1794.767822,4934.803
8.672293663,44.28609085,1796.82019,4933.36
8.640033722,44.28072357,1800.110962,4928.152
8.624382019,44.27536011,1764.779175,5069.379
8.623849869,44.26999664,1773.994019,4934.228
8.649573326,44.26463318,1769.156128,5191.503
8.662336349,44.25926971,1778.823853,5322.47
8.640527725,44.25390625,1785.415405,5092.079
8.62389946,44.24853897,1777.975952,5123.941
8.630010605,44.24317551,1793.807495,5020.841
8.634405136,44.23781204,1787.308228,5135.431
8.581940651,44.23244858,1787.90686,5167.803
8.569184303,44.22708511,1783.034058,4729.533
8.573138237,44.22172165,1794.050293,5397.984
8.577092171,44.21635437,1784.482788,5422.617
8.581046104,44.21099091,1780.228394,5120.167
8.585000992,44.20562744,1776.179932,4816.703
8.59210968,44.20026398,1806.984863,4848.759
8.601256371,44.19490051,1797.466553,4919.616
8.610404015,44.18953705,1810.174194,5380.529
8.616833687,44.18416977,1816.114868,4979.711
8.619208336,44.1788063,1802.9646,4346.805
8.621582985,44.17344284,1788.19165,5293.834
8.623958588,44.16807938,1781.83252,5404.865
8.624793053,44.16271591,1778.431763,5053.956
8.625210762,44.15735245,1763.88623,4673.559
8.625628471,44.15198517,1755.134399,5008.599
8.621828079,44.14105225,1752.104004,4816.302
8.610672951,44.12905502,1747.37854,5038.398
8.599517822,44.1170578,1757.162964,5137.42
8.593168259,44.10506058,1738.643433,5191.189
8.612361908,44.09306335,1741.266357,5145.555
8.615157127,44.08106613,1733.609497,5199.728
8.609787941,44.06906891,1705.787109,4979.177
8.577044487,44.05707169,1708.902588,4871.174
8.552865982,44.04507446,1695.189819,5155.56
8.556726456,44.03307724,1696.490723,4836.139
8.56683445,44.02108002,1730.360352,5161.142
8.618830681,44.00908279,1711.48584,4863.508
8.670827866,43.99708557,1708.059448,5223.693
8.648247719,43.98508835,1717.756348,5197.057
8.623497963,43.97309113,1709.952759,4639.854
8.658723831,43.9610939,1712.702393,5187.789
8.628582001,43.94909668,1704.589966,4849.581
8.620488167,43.93709946,1688.535889,5486.286
8.585341454,43.92510223,1678.979614,5300.8
8.560009956,43.91310501,1697.459473,5199.391
8.578345299,43.90110779,1705.180908,4899.045
8.621715546,43.88911057,1710.194946,4926.296
8.66455555,43.87711334,1721.237915,4796.083
8.667208672,43.86511612,1724.951294,5002.104
8.669861794,43.8531189,1729.832275,5393.553
8.662629128,43.84112167,1735.325317,5424.246
8.653736115,43.82912445,1748.442749,4791.814
8.644843102,43.81712723,1738.269531,5041.033
8.687229156,43.80513,1748.588501,4984.651
8.630665779,43.79313278,1740.274414,5023.545
8.650482178,43.78113556,1749.310425,5141.332
8.672688484,43.76913834,1755.225708,4803.903
8.571731567,43.75714111,1748.284058,4931.317
8.523363113,43.8032341,1750.731689,4949.785
8.561301231,43.86662292,1736.40271,5278.013
8.593621254,43.93001175,1750.053589,5260.556
8.610770226,43.99340439,1754.533325,5083.47
8.624559402,44.05679321,1741.304932,5005.785
8.638349533,44.12018204,1733.970093,4771.156
8.530942917,44.18357086,1730.900757,5131.847
8.555858612,44.2469635,1727.765015,5292.338
8.614984512,44.31035233,1734.281616,5058.599
8.606108665,44.37374115,1743.584839,4953.512
8.597232819,44.43712997,1741.062012,5159.707
8.574375153,44.50052261,1749.198364,5344.498
8.573765755,44.56391144,1737.310547,4952.331
8.546643257,44.62730026,1751.452026,5094.458
8.604103088,44.69068909,1744.710693,5192.456
8.558954239,44.75408173,1749.260986,5107.292
8.641741753,44.81747055,1736.616455,4885.25
8.553795815,44.80871582,1742.319214,5314.438
8.465849876,44.78452682,1738.301636,5385.943
8.535680771,44.76033783,1728.492798,4891.582
8.608451843,44.73614883,1728.453125,4699.492
8.612483978,44.71195984,1745.829468,4674.952
8.622468948,44.68777084,1765.503052,5185.5
8.644254684,44.66358185,1764.136719,4605.292
8.664228439,44.63939667,1766.732422,5202.129
8.636926651,44.61520767,1762.7229,5214.661
8.609624863,45.00034714,1747.455444,4811.508
8.604517937,45.64351654,1766.368652,4867.159
8.626872063,45.57414246,1767.651978,4996.585
8.666976929,45.46557617,1767.675049,4814.379
8.698936462,45.35700607,1773.842773,4911.193
8.668769836,45.24843597,1768.501587,4795.132
8.660010338,45.13986969,1776.705688,5249.971
8.659706116,45.03129959,1774.807861,5404.912
8.619737625,44.92272949,1776.094604,4944.531
8.59828949,45.16495895,1773.342407,4947.793
8.605335236,45.63033295,1753.411865,4902.334
8.611588478,46.0150032,1745.177124,5002.063
8.611588478,46.08569717,1734.633789,4564.21
8.621494293,46.15639114,1723.75354,5110.252
8.635545731,46.22708511,1743.871216,5189.958
8.649597168,46.29777908,1729.996826,5121.82
8.596104622,46.36847305,1718.012573,5016.018
8.475467682,46.21179962,1717.061646,5124.341
8.463573456,46.00117111,1710.82312,4491.604
8.582036972,45.92832947,1704.953979,4900.375
8.613175392,46.17462158,1706.732666,5084.191
8.638196945,46.4209137,1748.165161,5132.75
8.639389992,46.66720581,1713.05249,5195.407
8.594094276,46.91349792,1695.513062,5332.693
8.544913292,47.15978622,1715.546021,5109.261
8.513213158,47.33592606,1683.487305,4907.461
8.548995018,47.04558182,1701.051025,4938.984
8.625880241,46.75523376,1689.835571,4736.321
8.622888565,46.34936905,1684.801636,4913.511
8.611684799,45.90815735,1696.056641,4799.805
8.633010864,45.46694946,1728.05896,5046.946
8.672050476,45.02574158,1721.735474,5254.814
8.619314194,44.90668106,1698.098511,4726.785
8.609316826,45.0405426,1688.686646,5012.036
8.654844284,45.17440414,1696.178589,5064.312
8.700371742,45.30826569,1696.631348,5009.338
8.708828926,45.22589874,1706.505371,4783.439
8.637611389,44.80257416,1696.680908,5319.797
8.670028687,44.37924576,1703.078613,5146.953
8.641683578,43.95591736,1684.823853,5423.587
8.592139244,43.53258896,1692.52356,5152.504
8.562088013,43.10926437,1690.969238,4808.065
8.613044739,42.68593597,1687.262573,4867.77
8.657351494,42.26260757,1682.440552,5060
8.693453789,41.83927917,1693.551758,5192.5
8.717982292,41.73194122,1669.271118,5187.101
8.663371086,41.97037506,1683.930176,5282.307
8.663806915,42.20880508,1695.013062,5015.274
8.675861359,42.44723892,1677.830811,5134.624
